LaunchSite,NameOfSatellite,CountryOrgOfUNRegistry,CountryOfOperatoOwner,Operator.Owner,Users,Purpose,ClassOfOrbit,Perigee,Apogee,MeanDistance,Radius,LaunchMass,DateOfLaunch,Contractor,CountryOfContractor,LaunchVehicle,LaunchVehicleCategory,lat,lon
Vandenberg AFB,Iridium 54 (Iridium SV054),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,18-Feb-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 56 (Iridium SV056),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,18-Feb-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 55 (Iridium SV055),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,30-Mar-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 8 (Iridium SV008),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,05-May-97,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 70 (Iridium SV070),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,17-May-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 72 (Iridium SV072),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,17-May-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 75 (Iridium SV075),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,17-May-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 80 (Iridium SV080),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,08-Sep-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 81 (Iridium SV081),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,08-Sep-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 82 (Iridium SV082),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,08-Sep-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 84 (Iridium SV084),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,06-Nov-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 60 (Iridium SV060),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,30-Mar-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 57 (Iridium SV057),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,30-Mar-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 83 (Iridium SV083),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,06-Nov-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 7 (Iridium SV007),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,05-May-97,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 90 (Iridium SV090),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,777,778,778,12.78,0,11-Feb-02,Motorola Satellite Communications Group,USA,Delta 2,Delta,34.4,-120.35
Vandenberg AFB,Iridium 58 (Iridium SV058),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,779,778,12.78,0,30-Mar-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 77 (Iridium SV077),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,780,778,12.78,0,08-Sep-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 86 (Iridium SV086),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,780,778,12.78,0,06-Nov-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 59 (Iridium SV059),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,780,778,12.78,0,30-Mar-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Iridium 6 (Iridium SV006),USA,Multinational,Iridium Satellite LLC,Commercial/Government,Communications,LEO,776,780,778,12.78,0,06-May-97,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,Worldview 2,USA,Luxembourg,DigitalGlobe Corporation,Commercial,Earth Observation,LEO,765,767,766,12.77,0,08-Oct-09,Ball Aerospace,USA,Delta 2,Delta,34.4,-120.35
Vandenberg AFB,Iridium 91 (Iridium SV091),USA,Luxembourg,Iridium Satellite LLC,Commercial/Government,Communications,LEO,744,753,749,12.75,0,11-Feb-02,Motorola Satellite Communications Group,USA,Delta 2,Delta,34.4,-120.35
Vandenberg AFB,Iridium 74 (Iridium SV074),USA,Luxembourg,Iridium Satellite LLC,Commercial/Government,Communications,LEO,747,751,749,12.75,0,17-May-98,Motorola Satellite Communications Group,USA,Delta 2 7920,Delta,34.4,-120.35
Vandenberg AFB,EOS-CHEM Aura ,USA,Japan,Goddard Space Flight Center/EOS Data and Operations System,Government,Earth Observation,LEO,702,703,703,12.7,0,15-Jul-04,TRW,USA,Delta 2,Delta,34.4,-120.35
Vandenberg AFB,"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",USA,Japan,NASA - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,Government,Earth Observation,LEO,701,704,703,12.7,0,04-May-02,NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil),Brazil/Japan/USA,Delta,Delta,34.4,-120.35
Vandenberg AFB,EO-1 (Earth Observing 1),USA,Japan,NASA Earth Science Office,Government,Earth Observation/Research,LEO,678,690,684,12.68,0,21-Nov-00,Swales Aerospace,USA,Delta 2,Delta,34.4,-120.35
Vandenberg AFB,GeoEye-1 (Orbview 5),USA,Italy,DigitalGlobal Corporation,Commercial/Government,Earth Observation,LEO,671,686,679,12.68,0,06-Sep-08,General Dynamics,USA,Delta 2,Delta,34.4,-120.35
Vandenberg AFB,SMAP (Soil Moisture Active Passive Satellite),NR,Israel,National Aeronautics and Space Administration (NASA),Government,Earth Observation,LEO,660,686,673,12.67,0,31-Jan-15,Jet Propulsion Laboratory (NASA),USA,Delta 2,Delta,34.4,-120.35
Vandenberg AFB,TIMED (Thermosphere _ Ionosphere _ Mesosphere _ Energetics and Dynamics),USA,China,"NASA/Applied Physics Laboratory, Johns Hopkins",Civil/Government,Space Science,LEO,612,613,613,12.61,0,07-Dec-01,"Applied Physics Laboratory, Johns Hopkins",USA,Delta 2,Delta,34.4,-120.35
Vandenberg AFB,"Firebird-D (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,China,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Civil/Government,Space Science,LEO,444,675,560,12.56,0,31-Jan-15,Montana State University,USA,Delta 2,Delta,34.4,-120.35
Vandenberg AFB,"Firebird-C (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,China,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Civil/Government,Space Science,LEO,437,667,552,12.55,0,31-Jan-15,Montana State University,USA,Delta 2,Delta,34.4,-120.35
Vandenberg AFB,GRIFEX (GEO-CAPE ROIC In-Flight Performance Experiment),NR,China,University of Michigan/NASA Earth Science Technology Office,Civil/Government,Technology Development,LEO,441,659,550,12.55,0,31-Jan-15,"Michigan Exploration Laboratory, University of Michigan",USA,Delta 2,Delta,34.4,-120.35
Vandenberg AFB,Worldview 1,USA,China,DigitalGlobe Corporation,Commercial,Earth Observation,LEO,491,494,493,12.49,0,18-Sep-07,Ball Aerospace,USA,Delta 2,Delta,34.4,-120.35
Cape Canaveral,"GSSAP 2 (Geosynchronous Space Situational Awareness Program, USA 254)",USA,USA,Air Force Satellite Control Network,Military,Space Observation,GEO,35800,35900,35850,47.85,0,28-Jul-14,Orbital Sciences Corp.,USA,Delta 4M,Delta,28.5,-81
Cape Canaveral,"SDS III-6 (Satellite Data System) NRO L-27, Gryphon, USA 227)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,GEO,35770,35803,35787,47.79,0,02-Mar-11,National Reconnaissance Laboratory,USA,Delta 4,Delta,28.5,-81
Cape Canaveral,"GSSAP 1 (Geosynchronous Space Situational Awareness Program, USA 253)",USA,USA,Air Force Satellite Control Network,Military,Space Observation,GEO,35749,35757,35753,47.75,0,28-Jul-14,Orbital Sciences Corp.,USA,Delta 4M,Delta,28.5,-81
Plesetsk Cosmodrome,"Cubesat XI-IV (Oscar 57, CO-57)",Japan,Russia,"Department of Astronautics, University of Tokyo",Civil,Technology Development,LEO,815,830,823,12.82,0,30-Jun-03,"Department of Astronautics, University of Tokyo",Japan,Dnepr,Dnepr,62.8,40.1
Dombarovsky Air Base,SkySat-1,USA,China,Terra Bella,Commercial,Earth Observation,LEO,567,599,583,12.58,0,21-Nov-13,Skybox Imaging,USA,Dnepr,Dnepr,50.75,59.53
Baikonur Cosmodrome,LatinSat B ,NR,India,Aprize Satellites Argentina,Commercial,Communications,LEO,603,717,660,12.66,0,20-Dec-02,SpaceQuest,USA,Dnepr LV,Dnepr,45.6,63.4
Baikonur Cosmodrome,LatinSat A,NR,France/USA,Aprize Satellites Argentina,Commercial,Communications,LEO,610,668,639,12.64,0,20-Dec-02,SpaceQuest,USA,Dnepr LV,Dnepr,45.6,63.4
Vandenberg AFB,CUSat-1 (Cornell University Satellite 1),NR,Russia,"Space Systems Design Studio, Cornell University",Civil,Technology Development,LEO,326,1465,896,12.9,0,29-Sep-13,"Space Systems Design Studio, Cornell University",USA,Falcon 9,Falcon,34.4,-120.35
Cape Canaveral,Eutelsat 115 West-B,NR,USA,Eutelsat S.A.,Commercial,Communications,GEO,35789,35789,35789,47.79,0,02-Mar-15,Boeing Defense and Space,USA,Falcon 9,Falcon,28.5,-81
Jiuquan Satellite Launch Center,Yaogan 25C (Remote Sensing Satellite 25C),NR,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1092,1113,1103,13.1,0,10-Dec-14,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 17B (Remote Sensing Satellite 17B),NR,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1080,1111,1096,13.1,0,01-Sep-13,Shanghai Academy of Satellite Technology (SAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,"Yaogan 17A (Remote Sensing Satellite 17A, Yaogan Weixing 17)",China,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1076,1111,1094,13.09,0,01-Sep-13,Shanghai Academy of Satellite Technology (SAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 25A (Remote Sensing Satellite 25A),NR,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1089,1097,1093,13.09,0,10-Dec-14,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 9C (Remote Sensing Satellite 9C),NR,Russia,People's Liberation Army (C41),Government,Earth Observation,LEO,1017,1164,1091,13.09,0,05-Mar-10,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 9A (Remote Sensing Satellite 9A),China,Russia,People's Liberation Army (C41),Government,Earth Observation,LEO,1017,1164,1091,13.09,0,05-Mar-10,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 20C (Remote Sensing Satellite 20C),NR,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1087,1094,1091,13.09,0,09-Aug-14,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 9B (Remote Sensing Satellite 9B),NR,Russia,People's Liberation Army (C41),Government,Earth Observation,LEO,1017,1164,1091,13.09,0,05-Mar-10,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 20B (Remote Sensing Satellite 20B),NR,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1087,1093,1090,13.09,0,09-Aug-14,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 20A (Remote Sensing Satellite 20A),NR,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1085,1095,1090,13.09,0,09-Aug-14,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 25B (Remote Sensing Satellite 25B),NR,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1083,1093,1088,13.09,0,10-Dec-14,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,"Yaogan 16A (Remote Sensing Satellite 16A, Yaogan Weixing 16)",China,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1080,1089,1085,13.08,0,25-Nov-12,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 16B (Remote Sensing Satellite 16B),NR,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1079,1090,1085,13.08,0,25-Nov-12,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 16C (Remote Sensing Satlelite 16C),NR,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1032,1081,1057,13.06,0,25-Nov-12,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 17C (Remote Sensing Satellite 17C),NR,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,890,1112,1001,13,0,01-Sep-13,Shanghai Academy of Satellite Technology (SAST),China,Long March 4C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Ling Qiao,NR (1/15),Norway,Xinwei Telecom Technology Company,Commercial,Technology Development,LEO,779,808,794,12.79,0,04-Sep-14,Xinwei Telecom Technology Co/Tsinghua University,China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Shijian 11-08 (SJ-11-08),NR (6/16),Japan,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,690,705,698,12.7,0,27-Oct-14,Chinese Academy of Space Technology (CAST),China,Long March 2C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Shijian 11-05 (SJ-11-05),China,Japan,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,689,704,697,12.7,0,15-Jul-13,Chinese Academy of Space Technology (CAST),China,Long March 2C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Shijian 11-03 (SJ-11-03),NR,Japan,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,688,703,696,12.7,0,06-Jul-11,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Long March 2C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Shijian 11-07 (SJ-11-07),NR (6/16),Japan,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,687,705,696,12.7,0,28-Sep-14,Chinese Academy of Space Technology (CAST),China,Long March 2C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Shijian 11-06 (SJ-11-06),China,Japan,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,688,704,696,12.7,0,31-Mar-14,Chinese Academy of Space Technology (CAST),China,Long March 2C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Shijian 11-01 (SJ-11-01),China,Japan,Chinese Academy of Space Technology (CAST),Government,Space Science,LEO,686,703,695,12.69,0,12-Nov-09,Chinese Academy of Space Technology (CAST)/ DFH Satellite,China,Long March 2C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Shijian 11-02 (SJ-11-02),China,Japan,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,686,704,695,12.7,0,29-Jul-11,Chinese Academy of Space Technology (CAST/DFH Satellite,China,Long March 2C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Lingqiao-A (Lingqiao Video A),NR (12/15),India,Changchun Institute of Optics,Commercial,Earth Observation,LEO,639,664,652,12.65,0,07-Oct-15,Chang Guang Satellite Technology Co. Ltd.,China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,"LQSat (Lingqiao Satellite, Jilian 1A)",NR (12/15),India,Changchun Institute of Optics,Commercial,Earth Observation,LEO,640,663,652,12.65,0,07-Oct-15,Chang Guang Satellite Technology Co. Ltd.,China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Lingqiao-B (Lingqiao Video B),NR (12/15),India,Changchun Institute of Optics,Commercial,Earth Observation,LEO,639,663,651,12.65,0,07-Oct-15,Chang Guang Satellite Technology Co. Ltd.,China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 7 (Remote Sensing Satellite 7),China,Germany,People's Liberation Army (C41),Government,Earth Observation,LEO,628,665,647,12.65,0,09-Dec-09,Chinese Academy of Space Technology (CAST),China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 4 (Remote Sensing Satellite 4),China,Germany,People's Liberation Army (C41),Government,Earth Observation,LEO,635,658,647,12.65,0,01-Dec-08,Chinese Academy of Space Technology (CAST),China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 11 (Remote Sensing Satellite 11),China,India,People's Liberation Army (C41),Military,Earth Observation,LEO,626,668,647,12.65,0,22-Sep-10,Chinese Academy of Space Technology (CAST),China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 24 (Remote Sensing Satellite 24),NR,Germany,People's Liberation Army (C41),Military,Earth Observation,LEO,630,653,642,12.64,0,20-Nov-14,Chinese Academy of Space Technology (CAST),China,Long March 2C,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Yaogan 30 (Remote Sensing Satellite 30),NR (6/16),Germany,People's Liberation Army (C41),Military,Earth Observation,LEO,628,656,642,12.64,0,15-May-16,Chinese Academy of Space Technology (CAST),China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,"Zheda Pixing 1C (ZP-1C, Zhejiang University-1B",China,France,Zhejiang University,Civil,Space Science,LEO,620,653,637,12.64,0,22-Sep-10,Zhejiang University,China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,"Zheda Pixing 1B (ZP-1B, Zhejiang University-1B)",China,France,Zhejiang University,Civil,Space Science,LEO,619,653,636,12.64,0,22-Sep-10,Zhejiang University,China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Shijian 16 01 (SJ-16),China,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,599,616,608,12.61,0,25-Oct-13,Chinese Academy of Space Technology (CAST),China,Long March 4B,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Shijian 12 (SJ-12),China,China,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,583,601,592,12.59,0,15-Jun-10,Chinese Academy of Space Technology (CAST),China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,"Shijian 7 (SJ7, Dong Fang Hong 65)",China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,LEO,534,591,563,12.56,0,05-Jul-05,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Pujiang-1,NR (12/15),Canada,Shanghai Academy of Space Technology (SAST),Government,Technology Development,LEO,468,486,477,12.48,0,24-Sep-15,Shanghai Academy of Space Flight Technology,China,Long March 11,Long March,40.96,99.9
Jiuquan Satellite Launch Center,Shijian 16 02,NR (6/16),Canada,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,338,594,466,12.47,0,29-Jun-16,Chinese Academy of Space Technology (CAST),China,Long March 4B,Long March,40.96,99.9
Taiyuan Launch Center,Yaogan 27 (Remote Sensing Satellite 27),NR (12/15),Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1201,1213,1207,13.21,0,27-Aug-15,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,37.5,112.6
Taiyuan Launch Center,Yaogan 19 (Remote Sensing Satellite 19),China,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1201,1207,1204,13.2,0,20-Nov-13,Shanghai Academy of Satellite Technology (SAST),China,Long March 4C,Long March,37.5,112.6
Taiyuan Launch Center,Yaogan 15 (Remote Sensing Satellite 15),China,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1201,1207,1204,13.2,0,29-May-12,Shanghai Academy of Satellite Technology (SAST),China,Long March 4C,Long March,37.5,112.6
Taiyuan Launch Center,Yaogan 22 (Remote Sensing Satellite 22),NR,Russia,People's Liberation Army (C41),Military,Earth Observation,LEO,1196,1209,1203,13.2,0,20-Oct-14,Shanghai Academy of Satellite Technology (SAST),China,Long March 4C,Long March,37.5,112.6
Taiyuan Launch Center,Yaogan 8 (Remote Sensing Satellite 8),China,Russia,People's Liberation Army (C41),Government,Earth Observation,LEO,1192,1205,1199,13.2,0,15-Dec-09,Shanghai Academy of Satellite Technology (SAST),China,Long March 4C,Long March,37.5,112.6
Taiyuan Launch Center,"XW-1 (Hope Oscar 68, HO-68, Xi Wang 1, Hope-1, CAS-1)",China,Russia,DFH Satellite/AMSAT-China,Civil,Communications,LEO,1193,1205,1199,13.2,0,15-Dec-09,DFH Satellite,China,Long March 4C,Long March,37.5,112.6
Taiyuan Launch Center,Ziyuan 1-02C,China,Luxembourg,China Centre for Resources Satellite Data and Application (CRESDA),Government,Earth Observation,LEO,763,773,768,12.77,0,22-Dec-11,China Academy of Space Technology (CAST),China,Long March 4B,Long March,37.5,112.6
Taiyuan Launch Center,"Shiyan 7 (SY7, Experimental Satellite 7)",NR,Israel,Chinese Academy of Space Technology (CAST),Military,Technology Development,LEO,668,672,670,12.67,0,19-Jul-13,Chinese Academy of Space Technology (CAST),China,Long March 4C,Long March,37.5,112.6
Taiyuan Launch Center,Shijian 15 (SJ-15),NR,Israel,Chinese Academy of Space Technology (CAST),Government,Technology Development,LEO,661,673,667,12.67,0,19-Jul-13,Chinese Academy of Space Technology (CAST),China,Long March 3C,Long March,37.5,112.6
Taiyuan Launch Center,Shijian 9B (SJ 9B),China,France,Shanghai Academy of Space Technology (CAST),Government,Technology Development,LEO,624,651,638,12.64,0,14-Oct-12,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Long March 2C,Long March,37.5,112.6
Taiyuan Launch Center,Shijian 9A (SJ 9A),China,France,Shanghai Academy of Space Technology (CAST),Government,Technology Development,LEO,623,650,637,12.64,0,14-Oct-12,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Long March 2C,Long March,37.5,112.6
Taiyuan Launch Center,Yaogan 29 (Remote Sensing Satellite 29),NR (12/15),ESA,People's Liberation Army (C41),Military,Earth Observation,LEO,628,629,629,12.63,0,26-Nov-15,CAST/Changchun Light Technology Institute,China,Long March 4C,Long March,37.5,112.6
Taiyuan Launch Center,Yaogan 10 (Remote Sensing Satellite 10),China,ESA,People's Liberation Army (C41),Military,Earth Observation,LEO,625,628,627,12.63,0,09-Aug-10,Shanghai Academy of Satellite Technology (SAST),China,Long March 4C,Long March,37.5,112.6
Taiyuan Launch Center,Shijian 6D (SJ-6-02B),China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,LEO,594,595,595,12.59,0,23-Oct-06,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Long March 4B,Long March,37.5,112.6
Taiyuan Launch Center,Shijian 6G (SJ6-04A),China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,LEO,584,603,594,12.59,0,06-Oct-10,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Long March 4B,Long March,37.5,112.6
Taiyuan Launch Center,Shijian 6H (SJ6_04B),China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,LEO,586,602,594,12.59,0,06-Oct-10,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Long March 4B,Long March,37.5,112.6
Taiyuan Launch Center,"Shijian 6E (SJ6-03A, SJ-6E)",China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,LEO,581,607,594,12.59,0,25-Oct-08,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Long March 4B,Long March,37.5,112.6
Taiyuan Launch Center,"Shijian 6A (SJ-6A, Dong Fang Hong 60)",China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,LEO,579,606,593,12.59,0,08-Sep-04,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Long March 4B,Long March,37.5,112.6
Taiyuan Launch Center,Shijian 6B (SJ-6B),China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,LEO,587,598,593,12.59,0,08-Sep-04,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Long March 4B,Long March,37.5,112.6
Taiyuan Launch Center,Shijian 6C (SJ-6-02A),China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,LEO,591,594,593,12.59,0,23-Oct-06,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Long March 4B,Long March,37.5,112.6
Taiyuan Launch Center,"Shijian 6F (SJ6-03B, SJ-6F)",China,China,Chinese Academy of Space Technology (CAST),Government,Space Science,LEO,578,603,591,12.59,0,25-Oct-08,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Long March 4B,Long March,37.5,112.6
Taiyuan Launch Center,XW-2B (CAS-3B),NR (12/15),China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,LEO,520,539,530,12.53,0,19-Sep-15,DFH Satellite/CAMSAT,China,Long March 6,Long March,37.5,112.6
Taiyuan Launch Center,XC-1 (Xingchen 1),NR (12/15),China,National University of Defense Technology,Government,Technology Development,LEO,520,540,530,12.53,0,19-Sep-15,National University of Defense Technology,China,Long March 6,Long March,37.5,112.6
Taiyuan Launch Center,XC-2 (Xingchen 2),NR (12/15),China,National University of Defense Technology,Government,Technology Development,LEO,520,540,530,12.53,0,19-Sep-15,National University of Defense Technology,China,Long March 6,Long March,37.5,112.6
Taiyuan Launch Center,Zijing 1,NR (12/15),China,Tsinghua University,Civil,Technology Development,LEO,520,540,530,12.53,0,19-Sep-15,Tsinghua University,China,Long March 6,Long March,37.5,112.6
